Country,happiness_score,year
Finland,7.769,2019
Denmark,7.6,2019
Norway,7.554,2019
Iceland,7.494,2019
Netherlands,7.488,2019
Switzerland,7.48,2019
Sweden,7.343,2019
New Zealand,7.307,2019
Canada,7.278,2019
Austria,7.246,2019
Australia,7.228,2019
Costa Rica,7.167,2019
Israel,7.139,2019
Luxembourg,7.09,2019
United Kingdom,7.054,2019
Ireland,7.021,2019
Germany,6.985,2019
Belgium,6.923,2019
United States,6.892,2019
Czech Republic,6.852,2019
United Arab Emirates,6.825,2019
Malta,6.726,2019
Mexico,6.595,2019
France,6.592,2019
Taiwan,6.446,2019
Chile,6.444,2019
Guatemala,6.436,2019
Saudi Arabia,6.375,2019
Qatar,6.374,2019
Spain,6.354,2019
Panama,6.321,2019
Brazil,6.3,2019
Uruguay,6.293,2019
Singapore,6.262,2019
El Salvador,6.253,2019
Italy,6.223,2019
Bahrain,6.199,2019
Slovakia,6.198,2019
Trinidad & Tobago,6.192,2019
Poland,6.182,2019
Uzbekistan,6.174,2019
Lithuania,6.149,2019
Colombia,6.125,2019
Slovenia,6.118,2019
Nicaragua,6.105,2019
Kosovo,6.1,2019
Argentina,6.086,2019
Romania,6.07,2019
Cyprus,6.046,2019
Ecuador,6.028,2019
Kuwait,6.021,2019
Thailand,6.008,2019
Latvia,5.94,2019
South Korea,5.895,2019
Estonia,5.893,2019
Jamaica,5.89,2019
Mauritius,5.888,2019
Japan,5.886,2019
Honduras,5.86,2019
Kazakhstan,5.809,2019
Bolivia,5.779,2019
Hungary,5.758,2019
Paraguay,5.743,2019
Northern Cyprus,5.718,2019
Peru,5.697,2019
Portugal,5.693,2019
Pakistan,5.653,2019
Russia,5.648,2019
Philippines,5.631,2019
Serbia,5.603,2019
Moldova,5.529,2019
Libya,5.525,2019
Montenegro,5.523,2019
Tajikistan,5.467,2019
Croatia,5.432,2019
Hong Kong,5.43,2019
Dominican Republic,5.425,2019
Bosnia and Herzegovina,5.386,2019
Turkey,5.373,2019
Malaysia,5.339,2019
Belarus,5.323,2019
Greece,5.287,2019
Mongolia,5.285,2019
North Macedonia,5.274,2019
Nigeria,5.265,2019
Kyrgyzstan,5.261,2019
Turkmenistan,5.247,2019
Algeria,5.211,2019
Morocco,5.208,2019
Azerbaijan,5.208,2019
Lebanon,5.197,2019
Indonesia,5.192,2019
China,5.191,2019
Vietnam,5.175,2019
Bhutan,5.082,2019
Cameroon,5.044,2019
Bulgaria,5.011,2019
Ghana,4.996,2019
Ivory Coast,4.944,2019
Nepal,4.913,2019
Jordan,4.906,2019
Benin,4.883,2019
Congo (Brazzaville),4.812,2019
Gabon,4.799,2019
Laos,4.796,2019
South Africa,4.722,2019
Albania,4.719,2019
Venezuela,4.707,2019
Cambodia,4.7,2019
Palestinian Territories,4.696,2019
Senegal,4.681,2019
Somalia,4.668,2019
Namibia,4.639,2019
Niger,4.628,2019
Burkina Faso,4.587,2019
Armenia,4.559,2019
Iran,4.548,2019
Guinea,4.534,2019
Georgia,4.519,2019
Gambia,4.516,2019
Kenya,4.509,2019
Mauritania,4.49,2019
Mozambique,4.466,2019
Tunisia,4.461,2019
Bangladesh,4.456,2019
Iraq,4.437,2019
Congo (Kinshasa),4.418,2019
Mali,4.39,2019
Sierra Leone,4.374,2019
Sri Lanka,4.366,2019
Myanmar,4.36,2019
Chad,4.35,2019
Ukraine,4.332,2019
Ethiopia,4.286,2019
Swaziland,4.212,2019
Uganda,4.189,2019
Egypt,4.166,2019
Zambia,4.107,2019
Togo,4.085,2019
India,4.015,2019
Liberia,3.975,2019
Comoros,3.973,2019
Madagascar,3.933,2019
Lesotho,3.802,2019
Burundi,3.775,2019
Zimbabwe,3.663,2019
Haiti,3.597,2019
Botswana,3.488,2019
Syria,3.462,2019
Malawi,3.41,2019
Yemen,3.38,2019
Rwanda,3.334,2019
Tanzania,3.231,2019
Afghanistan,3.203,2019
Central African Republic,3.083,2019
South Sudan,2.853,2019
