Country,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,year
Maldives,54.49,27.42,41.61,52.99,32.27,31.8,2022 (mid)
Cuba,54.02,16.38,36.12,48.39,31.63,1.48,2022 (mid)
Bahrain,53.84,27.61,41.36,43.46,47.34,60.36,2022 (mid)
Trinidad And Tobago,53.38,14.14,34.71,52.79,50.59,37.35,2022 (mid)
Cyprus,52.48,23.37,38.63,43.18,52.62,54.47,2022 (mid)
Jamaica,50.75,14.82,33.66,52.61,35.51,26.25,2022 (mid)
Saudi Arabia,50.35,11.29,31.77,42.47,36.67,93.26,2022 (mid)
Palestine,50.25,9.51,30.87,44.14,37.6,38.81,2022 (mid)
Greece,50.23,12.4,32.23,39.29,46.17,38.39,2022 (mid)
Belize,49.55,11.87,31.62,46.24,32.35,41.6,2022 (mid)
Estonia,49.47,14.73,32.94,39.65,47.84,60.41,2022 (mid)
Panama,48.25,19.51,34.58,47.28,40.15,32.66,2022 (mid)
Oman,48.11,15.39,32.54,45.13,39.78,78.78,2022 (mid)
Russia,48.07,15.96,32.8,41.19,44.2,42.22,2022 (mid)
Jordan,47.53,8.92,29.16,39.89,39.37,32.23,2022 (mid)
Spain,47.51,21.4,35.09,39.45,47.54,77.29,2022 (mid)
Slovenia,47.3,15.32,32.09,42.06,39.38,57.95,2022 (mid)
Guyana,46.87,8.44,28.58,50.31,37.08,19.73,2022 (mid)
Kuwait,46,27.68,37.28,33.26,41.99,81.76,2022 (mid)
Cambodia,45.73,13.97,30.62,46,20.64,13.96,2022 (mid)
Latvia,45.21,10.02,28.47,35.94,37.89,49.84,2022 (mid)
Czech Republic,44.33,18.27,31.93,37.59,33.4,69.94,2022 (mid)
Croatia,43.74,11.63,28.47,37.29,36.47,52.79,2022 (mid)
Costa Rica,43.65,13.31,29.21,42.4,36.29,38.59,2022 (mid)
Brunei,43.37,18.31,31.45,46.37,27.92,87.28,2022 (mid)
Lithuania,43.1,15.31,29.88,35.36,39.19,55.67,2022 (mid)
El Salvador,42.94,13.15,28.77,43.23,32.35,20.48,2022 (mid)
Zimbabwe,42.54,9.71,26.92,37.68,34.27,17.34,2022 (mid)
Portugal,42.18,20.7,31.96,33.8,34.88,47.89,2022 (mid)
Dominican Republic,41.97,10.29,26.9,38.05,34.35,21.62,2022 (mid)
Venezuela,41.77,8.07,25.74,36.08,42.92,12.72,2022 (mid)
Ethiopia,41.74,17.43,30.18,34.96,19.49,11.02,2022 (mid)
Guatemala,41.34,14.93,28.77,40.56,29.05,26.88,2022 (mid)
Slovakia,41.03,13.79,28.07,38.25,30.59,53.84,2022 (mid)
Mauritius,40.68,9.81,26,41.08,30.72,29.27,2022 (mid)
China,40.31,22.13,31.66,42.89,29.01,56.24,2022 (mid)
Fiji,39.37,15.1,27.83,44.1,32.22,38.72,2022 (mid)
Armenia,38.96,17.55,28.77,33.94,32.17,26.04,2022 (mid)
Honduras,38.91,9.11,24.73,33.78,26.18,31.41,2022 (mid)
Thailand,38.62,12.54,26.21,40.5,19.81,30.82,2022 (mid)
Ivory Coast,38.24,13.65,26.54,33.43,25.57,7.84,2022 (mid)
South Africa,37.94,14.76,26.91,31.09,35.01,77.84,2022 (mid)
Bulgaria,37.58,9.57,24.26,33.51,31.81,46.9,2022 (mid)
Nicaragua,37.17,8.17,23.37,35.71,25.12,19.61,2022 (mid)
Chile,37.16,11.41,24.91,34.1,33.68,35.79,2022 (mid)
Botswana,36.52,8.33,23.11,32.46,37.38,59.92,2022 (mid)
Iran,36.49,16.41,26.94,28.03,25.36,18.03,2022 (mid)
Ecuador,35.73,9.73,23.36,32.95,25.81,33.55,2022 (mid)
Namibia,35.59,11.56,24.16,32.98,37.44,50.99,2022 (mid)
Vietnam,35.59,11.73,24.24,36.37,18.24,28.18,2022 (mid)
Mexico,35.14,12.05,24.15,34.85,31.94,41.1,2022 (mid)
Poland,35.06,14.15,25.12,28.39,31.4,60.65,2022 (mid)
Romania,34.93,9.98,23.06,30.54,29.74,48.84,2022 (mid)
Georgia,34.85,15.45,25.62,30.42,32.14,25.13,2022 (mid)
Brazil,34.81,8.46,22.28,29.99,25.58,27.28,2022 (mid)
Montenegro,34.74,11.05,23.47,29.19,27.5,37.23,2022 (mid)
Hungary,34.64,11.13,23.46,30.85,28.23,53.24,2022 (mid)
Malaysia,34.41,9.73,22.67,37.1,19.85,59.41,2022 (mid)
Mongolia,33.69,9.1,21.99,34.51,26.39,23.62,2022 (mid)
