country,year,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy,freedom_life_choices,generosity,corruption_perceptions,positive_affect,negative_affect,goverment_confidence,happiness_score,dystopia
Albania,2021,5.25548172,9.562287331,0.70188278,69.15000153,0.8274527190000001,0.044741828,0.896126628,0.553830087,0.25365448,0.472924024,5.199,1.7180000000000002
Argentina,2021,5.908278942000001,9.955421448,0.8823045490000001,67.19999695,0.8194793459999999,-0.008816141999999999,0.816256702,0.6848600509999999,0.345131576,0.326574117,5.9670000000000005,1.891
Armenia,2021,5.300568581,9.50048542,0.762044132,67.65000153,0.795169771,-0.150131598,0.7053338290000001,0.565781593,0.477539957,0.297145844,5.399,1.6540000000000001
Australia,2021,7.111598969,10.81834221,0.91975528,71.05000305,0.912402213,0.237517536,0.453676045,0.739800155,0.235314175,0.519226372,7.162000000000001,2.011
Austria,2021,7.079640865,10.89209175,0.862975955,71.15000153,0.7948459390000001,0.161673456,0.500808597,0.721865237,0.259080172,0.61045897,7.162999999999999,2.148
Benin,2021,4.493431091000001,8.140853882,0.435524195,56.09999847,0.724061847,-0.013507844,0.6125470999999999,0.596800864,0.434594899,0.762415886,4.623,2.458
Bolivia,2021,5.56862402,9.007940292,0.797810495,63.59999847,0.8617312309999999,-0.054499056,0.8121744390000001,0.721001804,0.403487325,0.38587558299999997,5.6,2.1069999999999998
Bosnia and Herzegovina,2021,5.748823166,9.627624512,0.859953582,67.30000305,0.7589792009999999,0.281281054,0.920913935,0.6040925979999999,0.305352151,0.225852832,5.768,1.869
Brazil,2021,6.009953499,9.593187332000001,0.814328671,65.75,0.7915077209999999,0.090771444,0.738571405,0.661550403,0.40718296200000004,0.327099293,6.292999999999999,2.3609999999999998
Bulgaria,2021,5.421693325,10.05412579,0.883621037,66.5,0.841188073,-0.010516754,0.891248465,0.646759868,0.252776712,0.22452619699999998,5.371,1.235
Burkina Faso,2021,4.635508537,7.713550568,0.6575436,55.65000153,0.64410162,0.067472264,0.7361589070000001,0.6197159289999999,0.363105804,0.620851576,4.67,2.313
Cameroon,2021,4.962747574,8.215063095,0.694936395,55.84999847,0.715301752,-0.023982672000000003,0.848717153,0.612028599,0.34651371799999997,0.563208461,5.048,2.469
Canada,2021,6.939435482,10.77074814,0.926076412,71.40000153,0.898229182,0.193240881,0.383990496,0.762826681,0.27623280899999997,0.610411167,7.025,1.9240000000000002
Chile,2021,6.435630797999999,10.16244316,0.891460538,70.30000305,0.80341506,-0.049180858,0.8585527540000001,0.735079885,0.22087857100000002,0.232144803,6.172000000000001,2.04
Colombia,2021,5.289958477,9.587848662999999,0.792830646,69.34999847,0.774668455,-0.06074876,0.831330955,0.75165838,0.34833231600000003,0.289148897,5.781000000000001,1.9709999999999999
Costa Rica,2021,6.408448218999999,9.938294411000001,0.87605232,70,0.8866522309999999,-0.023066543,0.781826913,0.774057925,0.317840338,0.31530833199999997,6.582000000000001,2.346
