Country,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
Rwanda,34.07,14.92,24.92,28.51,28.54,21.97
Bangladesh,33.31,4.9,19.74,31.49,20.39,24.07
Mongolia,33.17,9.91,22.05,33.11,23.35,28.09
Russia,33.17,9.77,21.99,27.81,30.65,34.61
Iraq,32.72,9.76,21.75,27.48,25.64,39.75
Moldova,32.68,8.65,21.2,26.07,26.59,26.99
Uganda,32.18,7.29,20.29,28.93,22,13.97
Brazil,31.82,8.12,20.5,25.41,22.55,28.66
Armenia,31.68,10.36,21.5,24.56,27.25,26.13
Turkey,31.48,6.1,19.35,28.11,19.91,35.35
Sri Lanka,31.28,8.54,20.42,36.47,16.54,20.77
Colombia,31,9.96,20.94,26.28,21.8,26.13
Azerbaijan,30.9,9.02,20.45,26.23,28.66,25.77
Paraguay,30.72,9.77,20.71,24.55,24.34,27.51
Belarus,30.69,9.19,20.42,26.57,31.03,31.96
Egypt,30.1,5.97,18.57,26.53,24.91,19.99
Kazakhstan,29.76,9.31,19.99,25.61,25.8,34.92
Nigeria,29.74,28.91,29.34,31.23,17.97,9.78
Tunisia,29.5,5.77,18.16,28.48,15.75,27.81
Kosovo (Disputed Territory),29.4,8.8,19.56,26.86,21.1,40.14
Ukraine,29.21,8.74,19.43,24.34,23.72,30.1
Syria,29.03,5.68,17.87,28.38,23.48,8.08
Nepal,28.86,4.54,17.24,26.45,19.68,20.63
Algeria,28.31,5.01,17.18,29.09,14.98,24.77
Zambia,28.06,6.75,17.88,27.12,16.18,59.47
Georgia,28.05,9.42,19.15,24.37,24.22,25.67
Uzbekistan,27.12,8.06,18.01,23.91,21.43,21.96
Afghanistan,26.33,3.85,15.59,19.3,16.98,26.58
India,25.16,5.77,15.9,26.26,17.66,47.13
Kyrgyzstan,22.98,7.43,15.55,20.57,19.19,22.01
Libya,22.32,5.68,14.37,25.3,13.31,31.81
Pakistan,21.59,4.37,13.36,19.06,17.24,27.28
