Country,milk_liter,bread_loaf,dozen_eggs,cheese_kg,1.5l_water_bottle,chicken_fillet_kg,oranges_kg,potato_kg,head_of_lettuce,white_rice_kg,tomato_kg,banana_kg,onion_kg,beef_kg,single_person_monthly_total,family_of_four_monthly_total
Oman,1.74,1.07,2.82,7,0.58,5.51,1.81,1.05,1.27,2.04,1.22,1.73,0.91,8.63,74.60999999999999,184.88
Bosnia And Herzegovina,0.76,0.62,1.73,5.84,0.57,5.83,1.29,0.63,0.79,1.26,1.24,1.22,0.75,7.94,60.64,148.49499999999998
Armenia,1.23,0.59,2.05,6.64,0.6,6.04,1.66,0.7,0.53,2.06,1.8,1.58,0.69,9.68,70.42499999999998,172.73000000000005
Austria,1.2,1.97,3.25,13.54,0.62,10.64,2.47,1.61,1.43,1.94,2.91,1.78,1.41,16.69,101.935,237.86
South Korea,1.87,2.34,2.89,12.88,0.99,8.24,5.07,3.28,2.11,3.33,5.08,3.19,2.44,29.42,131.25,308.02500000000003
El Salvador,1.76,1.58,2.25,6.44,0.96,4.85,2.35,2.16,0.94,1.3,2.26,1.87,2.05,9.94,85,215.215
Brazil,0.98,1.37,1.87,8.15,0.63,3.9,0.89,0.99,0.66,1.14,1.57,1.03,0.93,8.09,60.540000000000006,149.45999999999998
Algeria,0.74,0.16,1.3,6.06,0.25,3.95,1.15,0.59,0.51,1,0.67,2.52,0.36,10.33,47.1,109.28000000000002
Slovenia,0.99,1.29,2.43,10.64,0.67,7.67,1.77,0.95,1.31,1.65,2.52,1.32,1.18,10.15,80.10000000000001,193.89000000000001
Colombia,0.8,0.88,1.55,3.32,0.59,3.47,0.93,0.76,0.58,0.8,0.93,0.7,0.76,5.02,48.540000000000006,123.25500000000001
Ecuador,1.01,1.57,1.74,4.93,0.99,5.31,1.2,1.01,0.7,1.32,1.11,0.96,1.04,6.04,71.61000000000001,185.69
Kosovo (Disputed Territory),1.01,0.45,1.39,4.37,0.48,3.42,1.02,0.63,0.64,1.11,0.9,1.16,0.6,7.21,49.76,123.66499999999999
Hungary,0.71,0.9,1.74,7.57,0.31,4.12,1.36,0.85,0.93,1.13,2.01,1.22,0.79,8.7,50.36,117.74000000000001
Japan,1.34,1.48,1.68,12.35,0.86,6.29,4.36,3.1,1.29,3.53,4.38,2.34,2.37,16.96,99.22500000000002,238.82
Moldova,0.86,0.38,1.63,7.43,0.57,3.97,1.2,0.5,0.94,1.11,1.49,1.27,0.41,5.87,53.9,134.98499999999999
Belarus,0.77,0.6,1.4,6.83,0.66,4.02,1.86,0.81,1.41,1.38,2.72,1.93,0.78,7.57,59.985,150.205
Mauritius,1.13,0.64,1.95,10.8,0.58,5.45,2.08,1.08,0.82,2.13,3.29,1.75,1.21,11.06,72.765,175.24000000000004
Albania,1.16,0.63,2.15,5.64,0.5,4.57,1.1,0.68,0.67,1.22,1.03,1.55,0.65,7.77,58.629999999999995,144.01500000000004
Trinidad And Tobago,1.95,2.07,3.44,6.78,1.13,6.69,2.81,1.23,1.43,2.33,3.38,1.91,1.35,8.02,99.50500000000001,255.66499999999996
New Zealand,1.71,1.8,3.98,8.3,0.98,8.2,2.75,1.88,2.42,1.84,3.12,1.89,1.6,12.75,105.065,258.49999999999994
Honduras,1.08,1.61,1.92,3.84,0.95,4.02,2.09,1.37,0.79,1.15,1.46,1.33,1.53,7.19,69.615,179.43
Italy,1.18,1.6,2.84,12.43,0.41,8.8,1.85,1.27,1.06,1.97,2.36,1.64,1.31,14.94,85.44,197.03500000000003
Singapore,2.28,1.77,2.54,17.02,1.28,7.39,3.36,2.02,1.65,2.43,2.47,2.35,2.01,18.86,124.05499999999999,308.0300000000001
Egypt,0.91,0.55,1.43,3.54,0.27,4.75,0.51,0.39,0.28,0.77,0.43,0.75,0.31,9.09,46.56,109.49000000000001
Bolivia,0.96,1.22,1.44,4.63,0.98,3.61,1.24,1.06,0.68,1.09,1.07,1.15,0.89,6.17,64.65999999999998,169.185
Malta,1.01,1.14,2.5,8.89,0.93,7.54,2.48,1.86,1.53,2.33,2.64,1.85,2.05,14.26,93.905,227.93
Russia,1.27,0.78,1.78,11.82,0.77,5.46,1.87,0.99,1.38,1.78,2.94,1.54,0.82,10.35,78.095,193.38
Saudi Arabia,1.59,0.82,2.4,6.69,0.6,7.38,1.57,1.14,1.3,2.09,1.73,1.56,1.06,12.4,82.34,199.595
Netherlands,1,1.85,1.94,11,0.67,7.98,1.38,1.01,0.77,1.87,2.52,1.3,0.89,25.55,95.76,218.35500000000002
Pakistan,0.57,0.39,0.84,4.55,0.27,2.1,0.61,0.25,0.23,0.74,0.46,0.49,0.27,3.28,28.795,71.775
China,2,1.74,1.91,12.94,0.61,4.02,1.63,0.78,0.65,0.99,1.23,1.44,0.94,12.37,75.795,186.66999999999996
Ireland,1.12,1.62,2.89,7.58,1.34,8.44,2.24,1.57,0.94,1.37,2.58,1.69,1.12,9.94,102.15500000000002,259.22
Qatar,1.95,1.66,2.87,10.94,0.51,7.09,1.7,1.09,1.46,1.82,1.54,1.72,0.96,11.52,84.63999999999999,205.06
Slovakia,0.78,0.94,2.22,9.09,0.62,5.55,1.68,0.87,1.06,1.31,3.14,1.53,0.81,10.53,68.94500000000001,165.60500000000002
France,1.02,1.56,3.12,15.97,0.72,10.41,2.5,1.75,1.16,1.94,2.98,1.9,1.99,18.07,104.86000000000001,243.79499999999996
Lithuania,1.16,1.11,1.95,8.32,0.71,5.56,1.47,0.64,1.13,1.91,2.27,1.21,0.51,8.41,71.39,178.21999999999997
Serbia,0.89,0.49,1.81,5.51,0.47,5.43,1.18,0.68,0.47,1.39,1.38,1.17,0.5,7.75,57.120000000000005,138.635
Romania,1.15,0.83,2.37,5.93,0.53,4.69,1.13,0.56,0.61,1.29,1.66,1.18,0.59,7.87,60.49,148.38000000000002
Philippines,1.55,1.09,1.59,6.07,0.67,3.74,2.25,1.66,1.35,0.87,1.34,1.36,1.73,5.93,63.95,163.72000000000003
Uzbekistan,0.89,0.36,1.36,5.21,0.29,3.3,2.07,0.48,0.26,1.18,1.31,1.79,0.34,6.96,43.945,106.31500000000001
Bangladesh,0.83,0.66,1.27,7.7,0.29,2.79,2.01,0.29,0.41,0.68,0.75,1.01,0.54,7.25,41.81,100.33000000000001
Norway,1.88,2.78,3.61,10.46,2.05,12.82,2.77,2.03,2.28,2.71,3.45,2.16,2.19,26.71,167.57999999999998,416.83999999999986
Denmark,1.48,2.55,3.67,10.71,1.24,9.42,2.71,1.73,1.69,2.08,3.5,2.7,1.46,13.59,116.73000000000002,290.0999999999999
Dominican Republic,1.18,1.63,1.73,7.66,0.75,5.28,2.36,1.37,0.84,1.27,1.27,0.8,2.23,8.19,71.235,178.21500000000003
Mexico,1.14,1.8,1.69,6.38,0.8,5.66,1.15,1.32,0.86,1.36,1.26,1.13,1.23,9.03,73.07000000000002,183.11999999999995
Montenegro,0.95,0.65,2.07,5.93,0.64,5.18,1.13,0.65,0.77,1.47,1.58,1.22,0.87,7.23,62.68000000000001,155.68
Indonesia,1.24,1.12,1.51,7.49,0.43,3.22,1.68,1.2,0.85,0.85,0.99,1.32,1.89,8.13,54.56,133.365
