Country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,RANK,Happiness score,Dystopia (1.83) + residual
Peru,2021,5.694317818,9.44045639,0.818539441,69.84999847,0.811777532,-0.085864142,0.879913747,0.783769429,0.368650228,0.30032289,74,5.559,1.89
Philippines,2021,5.96505785,9.020073891,0.778192103,62.04999924,0.905275464,-0.00859355,0.72116226,0.789731145,0.322941482,0.763208687,60,5.904,2.283
Poland,2021,5.978068829,10.43639851,0.935534835,69.05000305,0.731805563,0.127401829,0.743913174,0.699575484,0.277231276,0.259251654,48,6.123,1.693
Portugal,2021,6.183014393,10.41631794,0.894941688,71.25,0.892121136,-0.20704861,0.872229338,0.628748119,0.284006834,0.576186419,56,6.016,1.691
Romania,2021,6.548725605,10.33434677,0.834509134,67.05000305,0.870957971,-0.182472154,0.928280115,0.673982322,0.264397413,0.192293614,28,6.477,2.446
Russia,2021,5.448261261,10.22768974,0.861716568,64.94999695,0.670810163,0.058407594,0.807839274,0.590086401,0.1900727,0.45699209,80,5.459,1.494
Senegal,2021,4.902830601,8.127270699,0.645179272,60,0.758525133,0.034219597,0.82134825,0.812411606,0.264975786,0.454221755,103,5.046,2.419
Serbia,2021,6.245267391,9.874162674,0.890106082,67.15000153,0.850367904,0.26693216,0.806221604,0.567632556,0.311130971,0.605454803,43,6.178,2.031
Sierra Leone,2021,3.714294434,7.421621799,0.609334111,54.5,0.659139514,0.108862124,0.851488411,0.537982225,0.448415697,0.753032207,140,3.574,1.556
Slovakia,2021,6.418503761,10.35686398,0.951163888,68.94999695,0.74153322,0.048633955,0.895546556,0.69156754,0.241131321,0.215807587,35,6.391,2.094
Slovenia,2021,6.761220932,10.57335091,0.955252588,71.05000305,0.851086736,0.030901229,0.754198194,0.642823279,0.261042506,0.339235812,22,6.63,1.885
South Africa,2021,5.598653793,9.48507309,0.922238767,57.25,0.703564703,-0.142795756,0.891578615,0.78432101,0.172806978,0.508961499,91,5.194,1.742
South Korea,2021,6.112745285,10.69212723,0.810740769,73.65000153,0.717086375,-0.029297361,0.685114563,0.566271067,0.22117126,0.433829188,59,5.935,1.656
Spain,2021,6.469611168,10.53658772,0.926416755,72.34999847,0.781794965,-0.071897864,0.729346991,0.639074683,0.323980331,0.371703804,29,6.476,1.893
Sri Lanka,2021,4.10344696,9.463738441,0.812373936,67.19999695,0.771430016,-0.006883008,0.848541498,0.733172596,0.311583638,0.504923344,127,4.362,0.595
Sweden,2021,7.439280033,10.8734293,0.931819558,72.15000153,0.953379214,0.176988468,0.191473097,0.762894452,0.190008253,0.6335361,7,7.384,2.003
Switzerland,2021,7.327672482,11.16012573,0.934393048,72.90000153,0.907875359,0.026588805,0.286672562,0.74678129,0.182606846,0.837848067,4,7.512,2.153
Tanzania,2021,3.68056798,7.889876366,0.618984401,59.40000153,0.821772814,0.113013744,0.546387076,0.648245037,0.246362492,0.89139092,139,3.702,0.735
Thailand,2021,5.638096809,9.765044212,0.882821918,68.44999695,0.835590303,0.293198258,0.943129361,0.71892941,0.297737539,0.239433169,61,5.891,1.6
Togo,2021,4.036543846,7.679789543,0.603399694,57.20000076,0.618520677,0.041643929,0.765818477,0.627953172,0.417280585,0.547805727,135,4.112,2.061
Tunisia,2021,4.49948597,9.254252434,0.711321533,67,0.591229916,-0.201641768,0.932745636,0.451362312,0.335503727,0.317189902,120,4.516,1.54
Turkey,2021,4.366639614,10.3303709,0.736194909,68.75,0.44652763,-0.033108227,0.810165942,0.297092021,0.470578879,0.426014364,112,4.744,1.059
Uganda,2021,4.224533558,7.685560226,0.793349564,59.15000153,0.710621119,0.088556364,0.835011721,0.699308991,0.358832955,0.558759928,117,4.603,1.842
Ukraine,2021,5.311355114,9.462496758,0.879308522,64.55000305,0.769904315,0.170837387,0.922350943,0.574909985,0.25038904,0.213765517,98,5.084,1.331
United Kingdom,2021,6.866961956,10.71970272,0.854029596,70.30000305,0.815077186,0.254903495,0.447526574,0.683882475,0.265625894,0.394753993,17,6.943,1.967
United States,2021,6.959087849,11.05517292,0.920008719,65.84999847,0.815734804,0.192203477,0.686591566,0.739682019,0.277191907,0.404625207,16,6.977,2.214
Uruguay,2021,6.501700401,10.01091671,0.913873136,67.5,0.8987239,-0.047106676,0.60564214,0.746208131,0.26320982,0.485830873,30,6.474,1.974
Uzbekistan,2021,6.18530798,8.941695213,0.895503759,65.30000305,0.927415252,0.188774511,0.661561668,0.698459327,0.232672125,0.912673354,53,6.063,1.913
Zambia,2021,3.082154989,8.087629318,0.619071007,55.25,0.832573771,0.142836854,0.824030817,0.655689895,0.348551363,0.697677791,137,3.76,1.135
Zimbabwe,2021,3.154578209,8.153247833,0.685150504,54.04999924,0.667636156,-0.109439008,0.756945193,0.609917223,0.241681874,0.665703177,144,2.995,0.548
